tax_category,dependent_count,min_amount,max_amount,calculation_type,fixed_tax_amount,parameters,sort_order
ko,0,0,111000,fixed,0,,1
ko,0,111000,113000,fixed,140,,2
ko,0,113000,115000,fixed,250,,3
ko,0,115000,117000,fixed,350,,4
ko,0,117000,119000,fixed,450,,5
ko,0,119000,121000,fixed,550,,6
ko,0,121000,123000,fixed,650,,7
ko,0,123000,125000,fixed,760,,8
ko,0,125000,127000,fixed,860,,9
ko,0,127000,129000,fixed,960,,10
ko,0,129000,131000,fixed,1060,,11
ko,0,131000,133000,fixed,1160,,12
ko,0,133000,135000,fixed,1270,,13
ko,0,135000,137000,fixed,1370,,14
ko,0,137000,139000,fixed,1470,,15
ko,0,139000,141000,fixed,1570,,16
ko,0,141000,143000,fixed,1670,,17
ko,0,143000,145000,fixed,1780,,18
ko,0,145000,147000,fixed,1880,,19
ko,0,147000,149000,fixed,1980,,20
ko,0,149000,151000,fixed,2080,,21
ko,0,151000,153000,fixed,2180,,22
ko,0,153000,155000,fixed,2290,,23
ko,0,155000,157000,fixed,2390,,24
ko,0,157000,159000,fixed,2490,,25
ko,0,159000,161000,fixed,2590,,26
ko,0,161000,163000,fixed,2700,,27
ko,0,163000,165000,fixed,2800,,28
ko,0,165000,167000,fixed,2900,,29
ko,0,167000,169000,fixed,3000,,30
ko,0,169000,171000,fixed,3090,,31
ko,0,171000,173000,fixed,3170,,32
ko,0,173000,175000,fixed,3240,,33
ko,0,175000,177000,fixed,3310,,34
ko,0,177000,179000,fixed,3380,,35
ko,0,179000,181000,fixed,3450,,36
ko,0,181000,183000,fixed,3520,,37
ko,0,183000,185000,fixed,3590,,38
ko,0,185000,187000,fixed,3670,,39
ko,0,187000,189000,fixed,3740,,40
ko,0,189000,191000,fixed,3810,,41
ko,0,191000,193000,fixed,3880,,42
ko,0,193000,195000,fixed,3950,,43
ko,0,195000,197000,fixed,4020,,44
ko,0,197000,199000,fixed,4090,,45
ko,0,199000,201000,fixed,4170,,46
ko,0,201000,203000,fixed,4240,,47
ko,0,203000,205000,fixed,4310,,48
ko,0,205000,207000,fixed,4380,,49
ko,0,207000,209000,fixed,4450,,50
ko,0,209000,211000,fixed,4520,,51
ko,0,211000,213000,fixed,4590,,52
ko,0,213000,215000,fixed,4670,,53
ko,0,215000,217000,fixed,4740,,54
ko,0,217000,219000,fixed,4810,,55
ko,0,219000,221000,fixed,4880,,56
ko,0,221000,224000,fixed,4970,,57
ko,0,224000,227000,fixed,5080,,58
ko,0,227000,230000,fixed,5190,,59
ko,0,230000,233000,fixed,5300,,60
ko,0,233000,236000,fixed,5400,,61
ko,0,236000,239000,fixed,5510,,62
ko,0,239000,242000,fixed,5620,,63
ko,0,242000,245000,fixed,5730,,64
ko,0,245000,248000,fixed,5830,,65
ko,0,248000,251000,fixed,5940,,66
ko,0,251000,254000,fixed,6040,,67
ko,0,254000,257000,fixed,6160,,68
ko,0,257000,260000,fixed,6260,,69
ko,0,260000,263000,fixed,6370,,70
ko,0,263000,266000,fixed,6470,,71
ko,0,266000,269000,fixed,6590,,72
ko,0,269000,272000,fixed,6690,,73
ko,0,272000,275000,fixed,6800,,74
ko,0,275000,278000,fixed,6900,,75
ko,0,278000,281000,fixed,7010,,76
ko,0,281000,284000,fixed,7120,,77
ko,0,284000,287000,fixed,7230,,78
ko,0,287000,290000,fixed,7330,,79
ko,0,290000,293000,fixed,7440,,80
ko,0,293000,296000,fixed,7550,,81
ko,0,296000,299000,fixed,7660,,82
ko,0,299000,302000,fixed,7760,,83
ko,0,302000,305000,fixed,7880,,84
ko,0,305000,308000,fixed,8000,,85
ko,0,308000,311000,fixed,8130,,86
ko,0,311000,314000,fixed,8250,,87
ko,0,314000,317000,fixed,8450,,88
ko,0,317000,320000,fixed,8700,,89
ko,0,320000,323000,fixed,8940,,90
ko,0,323000,326000,fixed,9190,,91
ko,0,326000,329000,fixed,9430,,92
ko,0,329000,332000,fixed,9680,,93
ko,0,332000,335000,fixed,9920,,94
ko,0,335000,338000,fixed,10170,,95
ko,0,338000,341000,fixed,10410,,96
ko,0,341000,344000,fixed,10660,,97
ko,0,344000,347000,fixed,10900,,98
ko,0,347000,350000,fixed,11150,,99
ko,0,350000,353000,fixed,11390,,100
ko,0,353000,356000,fixed,11640,,101
ko,0,356000,359000,fixed,11880,,102
ko,0,359000,362000,fixed,12130,,103
ko,0,362000,365000,fixed,12370,,104
ko,0,365000,368000,fixed,12620,,105
ko,0,368000,371000,fixed,12860,,106
ko,0,371000,374000,fixed,13110,,107
ko,0,374000,377000,fixed,13350,,108
ko,0,377000,380000,fixed,13600,,109
ko,0,380000,383000,fixed,13840,,110
ko,0,383000,386000,fixed,14090,,111
ko,0,386000,389000,fixed,14330,,112
ko,0,389000,392000,fixed,14580,,113
ko,0,392000,395000,fixed,14820,,114
ko,0,395000,398000,fixed,15070,,115
ko,0,398000,401000,fixed,15320,,116
ko,0,401000,404000,fixed,15560,,117
ko,0,404000,407000,fixed,15810,,118
ko,0,407000,410000,fixed,16050,,119
ko,0,410000,413000,fixed,16300,,120
ko,0,413000,416000,fixed,16540,,121
ko,0,416000,419000,fixed,16790,,122
ko,0,419000,422000,fixed,17030,,123
ko,0,422000,425000,fixed,17280,,124
ko,0,425000,428000,fixed,17520,,125
ko,0,428000,431000,fixed,17770,,126
ko,0,431000,434000,fixed,18010,,127
ko,0,434000,437000,fixed,18260,,128
ko,0,437000,440000,fixed,18500,,129
ko,0,440000,443000,fixed,18750,,130
ko,0,443000,446000,fixed,18990,,131
ko,0,446000,449000,fixed,19240,,132
ko,0,449000,452000,fixed,19480,,133
ko,0,452000,455000,fixed,19730,,134
ko,0,455000,458000,fixed,20160,,135
ko,0,458000,461000,fixed,20650,,136
ko,0,461000,464000,fixed,21140,,137
ko,0,464000,467000,fixed,21630,,138
ko,0,467000,470000,fixed,22130,,139
ko,0,470000,473000,fixed,22620,,140
ko,0,473000,476000,fixed,23110,,141
ko,0,476000,479000,fixed,23600,,142
ko,0,479000,482000,fixed,24090,,143
ko,0,482000,485000,fixed,24580,,144
ko,0,485000,488000,fixed,25070,,145
ko,0,488000,491000,fixed,25560,,146
ko,0,491000,494000,fixed,26050,,147
ko,0,494000,497000,fixed,26540,,148
ko,0,497000,500000,fixed,27030,,149
ko,0,500000,503000,fixed,27520,,150
ko,0,503000,506000,fixed,28010,,151
ko,0,506000,509000,fixed,28500,,152
ko,0,509000,512000,fixed,28990,,153
ko,0,512000,515000,fixed,29480,,154
ko,0,515000,518000,fixed,29970,,155
ko,0,518000,521000,fixed,30460,,156
ko,0,521000,524000,fixed,30950,,157
ko,0,524000,527000,fixed,31440,,158
ko,0,527000,530000,fixed,31930,,159
ko,0,530000,533000,fixed,32420,,160
ko,0,533000,536000,fixed,32910,,161
ko,0,536000,539000,fixed,33400,,162
ko,0,539000,542000,fixed,33890,,163
ko,0,542000,545000,fixed,34380,,164
ko,0,545000,548000,fixed,34870,,165
ko,0,548000,551000,fixed,35360,,166
ko,0,551000,554000,fixed,35900,,167
ko,0,554000,557000,fixed,36450,,168
ko,0,557000,560000,fixed,37000,,169
ko,0,560000,563000,fixed,37550,,170
ko,0,563000,566000,fixed,38100,,171
ko,0,566000,569000,fixed,38660,,172
ko,0,569000,572000,fixed,39210,,173
ko,0,572000,575000,fixed,39760,,174
ko,0,575000,578000,fixed,40310,,175
ko,0,578000,581000,fixed,40860,,176
ko,0,581000,584000,fixed,41410,,177
ko,0,584000,587000,fixed,41960,,178
ko,0,587000,590000,fixed,42510,,179
ko,0,590000,593000,fixed,43070,,180
ko,0,593000,596000,fixed,43620,,181
ko,0,596000,599000,fixed,44170,,182
ko,0,599000,602000,fixed,44720,,183
ko,0,602000,605000,fixed,45270,,184
ko,0,605000,608000,fixed,45820,,185
ko,0,608000,611000,fixed,46370,,186
ko,0,611000,614000,fixed,46930,,187
ko,0,614000,617000,fixed,47480,,188
ko,0,617000,620000,fixed,48030,,189
ko,0,620000,623000,fixed,48580,,190
ko,0,623000,626000,fixed,49130,,191
ko,0,626000,629000,fixed,49680,,192
ko,0,629000,632000,fixed,50230,,193
ko,0,632000,635000,fixed,50780,,194
ko,0,635000,638000,fixed,51340,,195
ko,0,638000,641000,fixed,51890,,196
ko,0,641000,644000,fixed,52440,,197
ko,0,644000,647000,fixed,52990,,198
ko,0,647000,650000,fixed,53540,,199
ko,0,650000,653000,fixed,54090,,200
ko,0,653000,656000,fixed,54640,,201
ko,0,656000,659000,fixed,55200,,202
ko,0,659000,662000,fixed,55750,,203
ko,0,662000,665000,fixed,56300,,204
ko,0,665000,668000,fixed,56850,,205
ko,0,668000,671000,fixed,57400,,206
ko,0,671000,674000,fixed,57950,,207
ko,0,674000,677000,fixed,58500,,208
ko,0,677000,680000,fixed,59050,,209
ko,0,680000,683000,fixed,59610,,210
ko,0,683000,686000,fixed,60160,,211
ko,0,686000,689000,fixed,60710,,212
ko,0,689000,692000,fixed,61260,,213
ko,0,692000,695000,fixed,61810,,214
ko,0,695000,698000,fixed,62360,,215
ko,0,698000,701000,fixed,62910,,216
ko,0,701000,704000,fixed,63470,,217
ko,0,704000,707000,fixed,64020,,218
ko,0,707000,710000,fixed,64570,,219
ko,0,710000,713000,fixed,65180,,220
ko,0,713000,716000,fixed,65790,,221
ko,0,716000,719000,fixed,66410,,222
ko,0,719000,722000,fixed,67020,,223
ko,0,722000,725000,fixed,67630,,224
ko,0,725000,728000,fixed,68240,,225
ko,0,728000,731000,fixed,68860,,226
ko,0,731000,734000,fixed,69470,,227
ko,0,734000,737000,fixed,70080,,228
ko,0,737000,740000,fixed,70690,,229
ko,0,740000,790000,marginal_round_10,,"{""base_amount"":740000,""base_tax"":71000,""rate_numerator"":2042,""rate_denominator"":10000}",230
ko,0,790000,960000,marginal_round_10,,"{""base_amount"":790000,""base_tax"":81210,""rate_numerator"":23483,""rate_denominator"":100000}",231
ko,0,960000,1720000,marginal_round_10,,"{""base_amount"":960000,""base_tax"":121130,""rate_numerator"":33693,""rate_denominator"":100000}",232
ko,0,1720000,2130000,marginal_round_10,,"{""base_amount"":1720000,""base_tax"":377200,""rate_numerator"":4084,""rate_denominator"":10000}",233
ko,0,2130000,2170000,marginal_round_10,,"{""base_amount"":2130000,""base_tax"":549410,""rate_numerator"":4084,""rate_denominator"":10000}",234
ko,0,2170000,2210000,marginal_round_10,,"{""base_amount"":2170000,""base_tax"":571190,""rate_numerator"":4084,""rate_denominator"":10000}",235
ko,0,2210000,2250000,marginal_round_10,,"{""base_amount"":2210000,""base_tax"":592970,""rate_numerator"":4084,""rate_denominator"":10000}",236
ko,0,2250000,3500000,marginal_round_10,,"{""base_amount"":2250000,""base_tax"":614740,""rate_numerator"":4084,""rate_denominator"":10000}",237
ko,0,3500000,,marginal_round_10,,"{""base_amount"":3500000,""base_tax"":1125240,""rate_numerator"":45945,""rate_denominator"":100000}",238
ko,1,0,111000,fixed,0,,239
ko,1,111000,113000,fixed,0,,240
ko,1,113000,115000,fixed,0,,241
ko,1,115000,117000,fixed,0,,242
ko,1,117000,119000,fixed,0,,243
ko,1,119000,121000,fixed,0,,244
ko,1,121000,123000,fixed,0,,245
ko,1,123000,125000,fixed,0,,246
ko,1,125000,127000,fixed,0,,247
ko,1,127000,129000,fixed,0,,248
ko,1,129000,131000,fixed,0,,249
ko,1,131000,133000,fixed,0,,250
ko,1,133000,135000,fixed,0,,251
ko,1,135000,137000,fixed,0,,252
ko,1,137000,139000,fixed,0,,253
ko,1,139000,141000,fixed,0,,254
ko,1,141000,143000,fixed,0,,255
ko,1,143000,145000,fixed,160,,256
ko,1,145000,147000,fixed,270,,257
ko,1,147000,149000,fixed,370,,258
ko,1,149000,151000,fixed,470,,259
ko,1,151000,153000,fixed,570,,260
ko,1,153000,155000,fixed,670,,261
ko,1,155000,157000,fixed,780,,262
ko,1,157000,159000,fixed,880,,263
ko,1,159000,161000,fixed,980,,264
ko,1,161000,163000,fixed,1080,,265
ko,1,163000,165000,fixed,1180,,266
ko,1,165000,167000,fixed,1290,,267
ko,1,167000,169000,fixed,1390,,268
ko,1,169000,171000,fixed,1480,,269
ko,1,171000,173000,fixed,1550,,270
ko,1,173000,175000,fixed,1620,,271
ko,1,175000,177000,fixed,1690,,272
ko,1,177000,179000,fixed,1770,,273
ko,1,179000,181000,fixed,1840,,274
